date,close,exp411_equity,exp412_equity,exp411_pos,exp412_pos,dd_control,vol_control,signal_state,regime
2024-10-18,70650.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-21,72450.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-22,73750.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-23,75250.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-24,74200.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-25,74700.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-28,76600.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-29,74900.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-30,73850.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-31,74850.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-01,76500.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-04,77250.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-05,77350.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-06,75900.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-07,76850.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-08,76400.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-11-11,80950.0,1.4088714639745834,1.370983059007808,1.0,1.0,1.0,1.0,ham_only,range
2024-11-12,81150.0,1.4123523076162747,1.3743702932487167,1.0,1.0,1.0,1.0,ham_only,range
2024-11-13,86500.0,1.505464875031519,1.4649788091930254,1.0,1.0,1.0,1.0,ham_only,uptrend
2024-11-14,81000.0,1.4097416748850062,1.3718298675680354,1.0,1.0,1.0,1.0,ham_only,uptrend
2024-11-15,78300.0,1.4055124498603513,1.3677143779653314,0.0,0.0,0.7,1.0,flat,range
2024-11-18,80950.0,1.4315235848615602,1.3854325150991003,0.6,0.42,0.7,1.0,ham_only,range
2024-11-19,82650.0,1.4495613125522187,1.3976523892903387,0.6,0.42,0.7,1.0,ham_only,uptrend
2024-11-20,82700.0,1.450087469108499,1.3974049718419697,0.6,0.6,1.0,1.0,ham_only,range
2024-11-21,81950.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-11-22,79500.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-11-25,80350.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-11-26,78650.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-11-27,78500.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-11-28,78500.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-11-29,78550.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-02,78300.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-03,78000.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-04,76300.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-05,76500.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-06,76650.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-09,76800.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-10,76600.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-11,76650.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-12,77050.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-13,75800.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-16,76000.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-17,75200.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-18,74360.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-19,73920.0,1.4474773116641038,1.394889642892654,0.0,0.0,1.0,1.0,flat,range
2024-12-20,77880.0,1.5206783071396883,1.4654312048332252,1.0,1.0,1.0,1.0,ham_only,range
2024-12-23,77180.0,1.5070101662177857,1.4522596351955357,1.0,1.0,1.0,1.0,ham_only,range
2024-12-24,78200.0,1.5024891357191323,1.4479028562899492,0.0,0.0,1.0,1.0,flat,range
2024-12-25,77500.0,1.5024891357191323,1.4479028562899492,0.0,0.0,1.0,1.0,flat,range
2024-12-26,77520.0,1.5024891357191323,1.4479028562899492,0.0,0.0,1.0,1.0,flat,range
2024-12-27,76500.0,1.5024891357191323,1.4479028562899492,0.0,0.0,1.0,1.0,flat,range
2024-12-30,78320.0,1.5212319511729464,1.4659647346658642,0.6,0.6,1.0,1.0,ham_only,range
2024-12-31,77100.0,1.5070141040297058,1.4522634299445234,0.6,0.6,1.0,1.0,ham_only,range
2025-01-02,77800.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-03,76380.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-06,77660.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-07,78820.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-08,77180.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-09,78240.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-10,77920.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-13,78760.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-14,79100.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-15,80260.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-16,79860.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-17,80740.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-20,80720.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-21,78520.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-22,79200.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-23,79580.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-24,79580.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-01-27,79620.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-05,78120.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-06,77500.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-07,77800.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-10,78600.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-11,77300.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-12,77500.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-13,77300.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-14,76780.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-17,77160.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-18,77060.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-19,77300.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-20,77180.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-21,76620.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-24,76720.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-25,76640.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-26,76000.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-27,76140.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-02-28,75200.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-03,75400.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-04,75260.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-05,75340.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-06,76800.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-07,76120.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-10,75760.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-11,75960.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-12,75600.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-13,75340.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-14,75540.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-17,76240.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-18,75400.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-19,75200.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
2025-03-20,73260.0,1.5043014786424522,1.4496493557706231,0.0,0.0,1.0,1.0,flat,range
