date,alpha_t,beta_t,disagreement,deviation
2024-12-04,0.1,0.3,-0.5722222222222222,0.5722222222222222
2024-12-05,0.1,0.3,0.1777777777777778,0.1777777777777778
2024-12-06,0.1,0.3,0.14444444444444438,0.14444444444444438
2024-12-09,0.1,0.3,0.13888888888888884,0.13888888888888884
2024-12-10,0.1,0.3,-0.005555555555555536,0.005555555555555536
2024-12-11,0.1,0.3,0.08333333333333326,0.08333333333333326
2024-12-12,0.1,0.3,0.26111111111111107,0.26111111111111107
2024-12-13,0.1,0.3,-0.47777777777777775,0.47777777777777775
2024-12-16,0.1,0.3,0.2055555555555555,0.2055555555555555
2024-12-17,0.1,0.3,-0.25,0.25
2024-12-18,0.1,0.3,-0.27222222222222225,0.27222222222222225
2024-12-19,0.1,0.3,-0.13888888888888884,0.13888888888888884
2024-12-20,0.1,0.3,0.9388888888888889,0.9388888888888889
2024-12-23,0.1,0.3,-0.2222222222222222,0.2222222222222222
2024-12-24,0.1,0.3,0.5611111111111111,0.5611111111111111
2024-12-25,0.1,0.3,-0.22777777777777775,0.22777777777777775
2024-12-26,0.1,0.3,0.08333333333333326,0.08333333333333326
2024-12-27,0.1,0.3,-0.3944444444444444,0.3944444444444444
2024-12-30,0.1,0.3,0.8055555555555556,0.8055555555555556
2024-12-31,0.1,0.3,-0.5055555555555555,0.5055555555555555
2025-01-02,0.1,0.3,0.41666666666666674,0.41666666666666674
2025-01-03,0.1,0.3,-0.55,0.55
2025-01-06,0.1,0.3,0.6499999999999999,0.6499999999999999
2025-01-07,0.1,0.3,0.6055555555555556,0.6055555555555556
2025-01-08,0.1,0.3,-0.6055555555555555,0.6055555555555555
2025-01-09,0.1,0.3,0.5611111111111111,0.5611111111111111
2025-01-10,0.1,0.3,-0.08333333333333326,0.08333333333333326
2025-01-13,0.1,0.3,0.44999999999999996,0.44999999999999996
2025-01-14,0.1,0.3,0.23888888888888893,0.23888888888888893
2025-01-15,0.1,0.3,0.6111111111111112,0.6111111111111112
2025-01-16,0.1,0.3,-0.12777777777777777,0.12777777777777777
2025-01-17,0.1,0.3,0.4833333333333334,0.4833333333333334
2025-01-20,0.1,0.3,0.050000000000000044,0.050000000000000044
2025-01-21,0.1,0.3,-0.75,0.75
2025-01-22,0.1,0.3,0.3833333333333333,0.3833333333333333
2025-01-23,0.1,0.3,0.25,0.25
2025-01-24,0.1,0.3,0.06666666666666665,0.06666666666666665
2025-01-27,0.1,0.3,0.09444444444444455,0.09444444444444455
2025-02-05,0.1,0.3,-0.5888888888888888,0.5888888888888888
2025-02-06,0.1,0.3,-0.21666666666666667,0.21666666666666667
2025-02-07,0.1,0.3,0.24444444444444446,0.24444444444444446
2025-02-10,0.1,0.3,0.461111111111111,0.461111111111111
2025-02-11,0.1,0.3,-0.5555555555555556,0.5555555555555556
2025-02-12,0.1,0.3,0.18888888888888888,0.18888888888888888
2025-02-13,0.1,0.3,-0.033333333333333326,0.033333333333333326
2025-02-14,0.1,0.3,-0.21666666666666667,0.21666666666666667
2025-02-17,0.1,0.3,0.2777777777777779,0.2777777777777779
2025-02-18,0.1,0.3,0.005555555555555536,0.005555555555555536
2025-02-19,0.1,0.3,0.23888888888888893,0.23888888888888893
2025-02-20,0.1,0.3,-0.02777777777777779,0.02777777777777779
2025-02-21,0.1,0.3,-0.22777777777777775,0.22777777777777775
2025-02-24,0.1,0.3,0.12222222222222223,0.12222222222222223
2025-02-25,0.1,0.3,0.005555555555555536,0.005555555555555536
2025-02-26,0.1,0.3,-0.27222222222222225,0.27222222222222225
2025-02-27,0.1,0.3,0.1499999999999999,0.1499999999999999
2025-02-28,0.1,0.3,-0.3944444444444444,0.3944444444444444
2025-03-03,0.1,0.3,0.22222222222222232,0.22222222222222232
2025-03-04,0.1,0.3,-0.04999999999999993,0.04999999999999993
2025-03-05,0.1,0.3,0.10555555555555562,0.10555555555555562
2025-03-06,0.1,0.3,0.7277777777777779,0.7277777777777779
2025-03-07,0.1,0.3,-0.3277777777777777,0.3277777777777777
2025-03-10,0.1,0.3,-0.18333333333333335,0.18333333333333335
2025-03-11,0.1,0.3,0.22777777777777786,0.22777777777777786
2025-03-12,0.1,0.3,-0.18888888888888888,0.18888888888888888
2025-03-13,0.1,0.3,-0.15000000000000002,0.15000000000000002
2025-03-14,0.1,0.3,0.22222222222222232,0.22222222222222232
2025-03-17,0.1,0.3,0.4722222222222223,0.4722222222222223
2025-03-18,0.1,0.3,-0.43333333333333335,0.43333333333333335
2025-03-19,0.1,0.3,-0.09444444444444444,0.09444444444444444
2025-03-20,0.1,0.3,-0.7722222222222221,0.7722222222222221
2025-03-21,0.1,0.3,0.011111111111111072,0.011111111111111072
2025-03-24,0.1,0.3,0.3944444444444444,0.3944444444444444
2025-03-25,0.1,0.3,0.11111111111111116,0.11111111111111116
2025-03-26,0.1,0.3,0.48888888888888893,0.48888888888888893
2025-03-27,0.1,0.3,-0.03888888888888886,0.03888888888888886
2025-03-28,0.1,0.3,-0.22777777777777775,0.22777777777777775
2025-03-31,0.1,0.3,0.2055555555555555,0.2055555555555555
2025-04-01,0.1,0.3,0.26111111111111107,0.26111111111111107
2025-04-02,0.1,0.3,-0.5333333333333333,0.5333333333333333
2025-04-03,0.1,0.3,-0.08333333333333326,0.08333333333333326
2025-04-07,0.1,0.3,-0.8,0.8
2025-04-08,0.1,0.3,-0.3944444444444444,0.3944444444444444
2025-04-09,0.1,0.3,-0.2222222222222222,0.2222222222222222
2025-04-10,0.1,0.3,0.49444444444444446,0.49444444444444446
2025-04-11,0.1,0.3,-0.1611111111111111,0.1611111111111111
2025-04-14,0.1,0.3,0.44999999999999996,0.44999999999999996
2025-04-15,0.1,0.3,0.005555555555555536,0.005555555555555536
2025-04-16,0.1,0.3,-0.21666666666666667,0.21666666666666667
2025-04-17,0.1,0.3,0.12777777777777777,0.12777777777777777
2025-04-18,0.1,0.3,-0.16666666666666663,0.16666666666666663
2025-04-21,0.1,0.3,-0.6166666666666667,0.6166666666666667
2025-04-22,0.1,0.3,-0.6055555555555555,0.6055555555555555
2025-04-23,0.1,0.3,0.7166666666666668,0.7166666666666668
2025-04-24,0.1,0.3,-0.4,0.4
2025-04-25,0.1,0.3,-0.0444444444444444,0.0444444444444444
2025-04-28,0.1,0.3,-0.6444444444444444,0.6444444444444444
2025-04-29,0.1,0.3,-0.4388888888888889,0.4388888888888889
2025-04-30,0.1,0.3,-0.19444444444444442,0.19444444444444442
2025-05-06,0.1,0.3,-0.4444444444444444,0.4444444444444444
2025-05-07,0.1,0.3,-0.6277777777777778,0.6277777777777778
2025-05-08,0.1,0.3,0.2055555555555555,0.2055555555555555
2025-05-09,0.1,0.3,-0.6833333333333333,0.6833333333333333
2025-05-12,0.1,0.3,0.6888888888888889,0.6888888888888889
2025-05-13,0.1,0.3,-0.5055555555555555,0.5055555555555555
2025-05-14,0.1,0.3,0.8944444444444444,0.8944444444444444
2025-05-15,0.1,0.3,-0.6277777777777778,0.6277777777777778
2025-05-16,0.1,0.3,-0.8833333333333333,0.8833333333333333
2025-05-19,0.1,0.3,-0.37777777777777777,0.37777777777777777
2025-05-20,0.1,0.3,-0.21111111111111114,0.21111111111111114
2025-05-21,0.1,0.3,0.3555555555555556,0.3555555555555556
2025-05-22,0.1,0.3,0.6833333333333333,0.6833333333333333
2025-05-23,0.1,0.3,-0.6555555555555556,0.6555555555555556
2025-05-26,0.1,0.3,-0.5388888888888889,0.5388888888888889
2025-05-27,0.1,0.3,0.6055555555555556,0.6055555555555556
2025-05-28,0.1,0.3,-0.35,0.35
2025-05-29,0.1,0.3,-0.7944444444444444,0.7944444444444444
2025-05-30,0.1,0.3,0.6611111111111112,0.6611111111111112
2025-06-03,0.1,0.3,0.22222222222222232,0.22222222222222232
2025-06-04,0.1,0.3,0.7444444444444445,0.7444444444444445
2025-06-05,0.1,0.3,-0.5611111111111111,0.5611111111111111
2025-06-06,0.1,0.3,0.4222222222222223,0.4222222222222223
2025-06-09,0.1,0.3,0.3833333333333333,0.3833333333333333
2025-06-10,0.1,0.3,0.12777777777777777,0.12777777777777777
2025-06-11,0.1,0.3,0.6833333333333333,0.6833333333333333
2025-06-12,0.1,0.3,-0.7444444444444445,0.7444444444444445
2025-06-13,0.1,0.3,-0.41666666666666663,0.41666666666666663
2025-06-16,0.1,0.3,0.03888888888888897,0.03888888888888897
2025-06-17,0.1,0.3,0.16666666666666674,0.16666666666666674
2025-06-18,0.1,0.3,0.07777777777777772,0.07777777777777772
2025-06-19,0.1,0.3,0.28333333333333344,0.28333333333333344
2025-06-20,0.1,0.3,-0.6888888888888889,0.6888888888888889
2025-06-23,0.1,0.3,0.3944444444444444,0.3944444444444444
2025-06-24,0.1,0.3,0.8500000000000001,0.8500000000000001
2025-06-25,0.1,0.3,0.2666666666666666,0.2666666666666666
2025-06-26,0.1,0.3,0.538888888888889,0.538888888888889
2025-06-27,0.1,0.3,0.8888888888888888,0.8888888888888888
2025-06-30,0.1,0.3,-0.6277777777777778,0.6277777777777778
2025-07-01,0.1,0.3,0.5277777777777779,0.5277777777777779
2025-07-02,0.1,0.3,0.8055555555555556,0.8055555555555556
2025-07-03,0.1,0.3,0.1777777777777778,0.1777777777777778
