date,deviation,disagreement,alpha_t,beta_t,open_signal,signal_dir,pos_A,pos_B,action_A,action_B,shadow_active_A,shadow_active_B
2024-11-20,0.0277777777777779,0.0277777777777779,0.1,0.3,False,1,0.5,0.5,HOLD,HOLD,1,1
2024-11-21,0.21666666666666667,-0.21666666666666667,0.1,0.3,False,-1,0.0,0.0,CLOSE,CLOSE,0,0
2024-11-22,0.75,-0.75,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-25,0.40555555555555567,0.40555555555555567,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-26,0.5555555555555556,-0.5555555555555556,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-27,0.016666666666666607,0.016666666666666607,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-28,0.05555555555555558,0.05555555555555558,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-29,0.06666666666666665,0.06666666666666665,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-02,0.02777777777777779,-0.02777777777777779,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-03,0.07777777777777772,-0.07777777777777772,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-04,0.5722222222222222,-0.5722222222222222,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-05,0.1777777777777778,0.1777777777777778,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-06,0.14444444444444438,0.14444444444444438,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-09,0.13888888888888884,0.13888888888888884,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-10,0.005555555555555536,-0.005555555555555536,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-11,0.08333333333333326,0.08333333333333326,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-12,0.26111111111111107,0.26111111111111107,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-13,0.47777777777777775,-0.47777777777777775,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-16,0.2055555555555555,0.2055555555555555,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-17,0.25,-0.25,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-18,0.27222222222222225,-0.27222222222222225,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-19,0.13888888888888884,-0.13888888888888884,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-20,0.9388888888888889,0.9388888888888889,0.1,0.3,True,1,1.0,1.0,OPEN_LONG,OPEN_LONG,1,1
2024-12-23,0.2222222222222222,-0.2222222222222222,0.1,0.3,False,-1,1.0,1.0,HOLD,HOLD,1,1
2024-12-24,0.5611111111111111,0.5611111111111111,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-12-25,0.22777777777777775,-0.22777777777777775,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-26,0.08333333333333326,0.08333333333333326,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-27,0.3944444444444444,-0.3944444444444444,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-12-30,0.8055555555555556,0.8055555555555556,0.1,0.3,True,1,0.6,0.6,OPEN_LONG,OPEN_LONG,1,1
2024-12-31,0.5055555555555555,-0.5055555555555555,0.1,0.3,False,-1,0.6,0.6,HOLD,HOLD,1,1
2025-01-02,0.41666666666666674,0.41666666666666674,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2025-01-03,0.55,-0.55,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-06,0.6499999999999999,0.6499999999999999,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-07,0.6055555555555556,0.6055555555555556,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-08,0.6055555555555555,-0.6055555555555555,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-09,0.5611111111111111,0.5611111111111111,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-10,0.08333333333333326,-0.08333333333333326,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-13,0.44999999999999996,0.44999999999999996,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-14,0.23888888888888893,0.23888888888888893,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-15,0.6111111111111112,0.6111111111111112,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-16,0.12777777777777777,-0.12777777777777777,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-17,0.4833333333333334,0.4833333333333334,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-20,0.050000000000000044,0.050000000000000044,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-21,0.75,-0.75,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-22,0.3833333333333333,0.3833333333333333,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-23,0.25,0.25,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-24,0.06666666666666665,0.06666666666666665,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-01-27,0.09444444444444455,0.09444444444444455,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-05,0.5888888888888888,-0.5888888888888888,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-06,0.21666666666666667,-0.21666666666666667,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-07,0.24444444444444446,0.24444444444444446,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-10,0.461111111111111,0.461111111111111,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-11,0.5555555555555556,-0.5555555555555556,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-12,0.18888888888888888,0.18888888888888888,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-13,0.033333333333333326,-0.033333333333333326,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-14,0.21666666666666667,-0.21666666666666667,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-17,0.2777777777777779,0.2777777777777779,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-18,0.005555555555555536,0.005555555555555536,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-19,0.23888888888888893,0.23888888888888893,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-20,0.02777777777777779,-0.02777777777777779,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-21,0.22777777777777775,-0.22777777777777775,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-24,0.12222222222222223,0.12222222222222223,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-25,0.005555555555555536,0.005555555555555536,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-26,0.27222222222222225,-0.27222222222222225,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2025-02-27,0.1499999999999999,0.1499999999999999,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
