date,position,close,price_ret,strat_ret,cost_ret,net_ret,equity
2025-11-03,-0.6,82280.0,0.018569,-0.011141,0.0,-0.011141,1.754349
2025-11-04,-1.0,78560.0,-0.045211,0.045211,0.0012,0.044011,1.83156
2025-11-05,-1.0,79140.0,0.007383,-0.007383,0.0,-0.007383,1.818038
2025-11-06,0.0,80500.0,0.017185,0.0,0.003,-0.003,1.812584
2025-11-07,0.0,82300.0,0.02236,0.0,0.0,0.0,1.812584
2025-11-10,0.0,87240.0,0.060024,0.0,0.0,0.0,1.812584
2025-11-11,0.0,86540.0,-0.008024,-0.0,0.0,-0.0,1.812584
2025-11-12,0.0,86580.0,0.000462,0.0,0.0,0.0,1.812584
2025-11-13,0.0,87840.0,0.014553,0.0,0.0,0.0,1.812584
2025-11-14,0.0,87360.0,-0.005464,-0.0,0.0,-0.0,1.812584
2025-11-17,1.0,95200.0,0.089744,0.089744,0.003,0.086744,1.969814
2025-11-18,1.0,93520.0,-0.017647,-0.017647,0.0,-0.017647,1.935053
2025-11-19,1.0,99300.0,0.061805,0.061805,0.0,0.061805,2.054648
2025-11-20,1.0,98980.0,-0.003223,-0.003223,0.0,-0.003223,2.048027
2025-11-21,0.0,91020.0,-0.08042,-0.0,0.003,-0.003,2.041883
2025-11-24,0.0,90480.0,-0.005933,-0.0,0.0,-0.0,2.041883
2025-11-25,0.3,95400.0,0.054377,0.016313,0.0009,0.015413,2.073355
2025-11-26,0.3,96340.0,0.009853,0.002956,0.0,0.002956,2.079483
2025-11-27,0.0,95820.0,-0.005398,-0.0,0.0009,-0.0009,2.077612
2025-11-28,0.0,96420.0,0.006262,0.0,0.0,0.0,2.077612
2025-12-01,0.0,96940.0,0.005393,0.0,0.0,0.0,2.077612
2025-12-02,0.0,96560.0,-0.00392,-0.0,0.0,-0.0,2.077612
2025-12-03,0.0,93660.0,-0.030033,-0.0,0.0,-0.0,2.077612
2025-12-04,0.0,93700.0,0.000427,0.0,0.0,0.0,2.077612
2025-12-05,0.0,92160.0,-0.016435,-0.0,0.0,-0.0,2.077612
2025-12-08,0.0,94840.0,0.02908,0.0,0.0,0.0,2.077612
2025-12-09,0.0,92800.0,-0.02151,-0.0,0.0,-0.0,2.077612
