date,close,exp412_equity,exp412_pos,dd_control,vol_control,signal_state,regime
2025-02-19,77300.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-20,77180.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-21,76620.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-24,76720.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-25,76640.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-26,76000.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-27,76140.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-28,75200.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-03,75400.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-04,75260.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-05,75340.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-06,76800.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-07,76120.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-10,75760.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-11,75960.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-12,75600.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-13,75340.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-14,75540.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-17,76240.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-18,75400.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-19,75200.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-20,73260.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-21,73240.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-24,73720.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-25,73800.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-26,74480.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-27,74380.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-28,74000.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-03-31,74160.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-01,74360.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-02,73340.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-03,73160.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-07,71060.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-08,70280.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-09,69900.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-10,70540.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-11,70260.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-14,70760.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-15,70720.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-16,70380.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-17,70460.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-18,70180.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-21,69000.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-22,67840.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-23,68980.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-24,68300.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-25,68180.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-28,66960.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-29,66260.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-04-30,65960.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-05-06,65260.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-05-07,64160.0,1.449649355770624,0.0,1.0,1.0,flat,downtrend
2025-05-08,64280.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-05-09,63020.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-05-12,64040.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-05-13,63220.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-05-14,65200.0,1.449649355770624,0.0,1.0,1.0,both_opp,range
2025-05-15,64120.0,1.449649355770624,0.0,1.0,1.0,both_opp,range
2025-05-16,61800.0,1.4977518503949505,-1.0,1.0,1.0,fund_only,downtrend
2025-05-19,61180.0,1.4932585948437656,0.0,1.0,1.0,flat,downtrend
2025-05-20,60860.0,1.4932585948437656,0.0,1.0,1.0,flat,downtrend
2025-05-21,61100.0,1.4932585948437656,0.0,1.0,1.0,flat,downtrend
2025-05-22,62140.0,1.4932585948437656,0.0,1.0,1.0,flat,range
2025-05-23,60960.0,1.4932585948437656,0.0,1.0,1.0,flat,range
2025-05-26,60100.0,1.4932585948437656,0.0,1.0,1.0,flat,downtrend
2025-05-27,60920.0,1.4932585948437656,0.0,1.0,1.0,flat,range
2025-05-28,60380.0,1.4932585948437656,0.0,1.0,1.0,flat,range
2025-05-29,58860.0,1.45118767854644,1.0,1.0,1.0,fund_only,downtrend
2025-05-30,59800.0,1.4743632887712728,1.0,1.0,1.0,fund_only,range
2025-06-03,59940.0,1.4778149754005032,1.0,1.0,1.0,fund_only,range
2025-06-04,61080.0,1.5059215665242365,1.0,1.0,1.0,fund_only,range
2025-06-05,60100.0,1.4817597601196235,1.0,1.0,1.0,fund_only,range
2025-06-06,60440.0,1.4901424276477546,1.0,1.0,1.0,fund_only,range
2025-06-09,60700.0,1.4965527028163252,1.0,1.0,1.0,fund_only,range
