date,equity_A,equity_B,daily_ret_A
2025-05-07,1.3996437284982586,0.8398706409040987,0.0
2025-05-08,1.3996437284982586,0.8398706409040987,0.0
2025-05-09,1.3996437284982586,0.8398706409040987,0.0
2025-05-12,1.3996437284982586,0.8398706409040987,0.0
2025-05-13,1.3996437284982586,0.8398706409040987,0.0
2025-05-14,1.44347945425635,0.8398706409040987,0.031319202783929134
2025-05-15,1.44347945425635,0.8348451811724551,0.0
2025-05-16,1.44347945425635,0.8298497918400902,0.0
2025-05-19,1.44347945425635,0.8298497918400902,0.0
2025-05-20,1.44347945425635,0.8298497918400902,0.0
2025-05-21,1.44347945425635,0.8298497918400902,0.0
2025-05-22,1.44347945425635,0.8298497918400902,0.0
2025-05-23,1.44347945425635,0.8298497918400902,0.0
2025-05-26,1.44347945425635,0.8298497918400902,0.0
2025-05-27,1.44347945425635,0.8298497918400902,0.0
2025-05-28,1.44347945425635,0.8298497918400902,0.0
2025-05-29,1.44347945425635,0.8298497918400902,0.0
2025-05-30,1.44347945425635,0.8298497918400902,0.0
2025-06-03,1.44347945425635,0.8298497918400902,0.0
2025-06-04,1.44347945425635,0.8298497918400902,0.0
2025-06-05,1.44347945425635,0.8298497918400902,0.0
2025-06-06,1.44347945425635,0.8298497918400902,0.0
2025-06-09,1.44347945425635,0.8298497918400902,0.0
2025-06-10,1.44347945425635,0.8298497918400902,0.0
2025-06-11,1.44347945425635,0.8298497918400902,0.0
2025-06-12,1.44347945425635,0.8298497918400902,0.0
2025-06-13,1.44347945425635,0.8298497918400902,0.0
2025-06-16,1.44347945425635,0.8298497918400902,0.0
2025-06-17,1.44347945425635,0.8298497918400902,0.0
2025-06-18,1.44347945425635,0.8298497918400902,0.0
2025-06-19,1.44347945425635,0.8298497918400902,0.0
2025-06-20,1.44347945425635,0.8298497918400902,0.0
2025-06-23,1.44347945425635,0.8298497918400902,0.0
2025-06-24,1.44347945425635,0.8298497918400902,0.0
2025-06-25,1.44347945425635,0.8298497918400902,0.0
2025-06-26,1.44347945425635,0.8298497918400902,0.0
2025-06-27,1.4857276334053167,0.8298497918400902,0.02926829268292683
2025-06-30,1.4857276334053167,0.8199743700893856,0.0
2025-07-01,1.4857276334053167,0.8102164683473779,0.0
2025-07-02,1.4857276334053167,0.8102164683473779,0.0
2025-07-03,1.4857276334053167,0.8102164683473779,0.0
2025-07-04,1.4857276334053167,0.8102164683473779,0.0
2025-07-07,1.4857276334053167,0.8102164683473779,0.0
2025-07-08,1.4857276334053167,0.8102164683473779,0.0
2025-07-09,1.4857276334053167,0.8102164683473779,0.0
2025-07-10,1.4857276334053167,0.8102164683473779,0.0
2025-07-11,1.4857276334053167,0.8102164683473779,0.0
2025-07-14,1.4857276334053167,0.8102164683473779,0.0
2025-07-15,1.4857276334053167,0.8102164683473779,0.0
2025-07-16,1.4857276334053167,0.8102164683473779,0.0
2025-07-17,1.52017539846771,0.8102164683473779,0.02318578741342969
2025-07-18,1.564912755691598,0.8228814155819761,0.02942907592701589
2025-07-21,1.594439411459364,0.8357443356975531,0.018867924528301886
2025-07-22,1.594439411459364,0.848808323319051,0.0
2025-07-23,1.6710110077835654,0.862076521445227,0.048024149286498355
2025-07-24,1.6710110077835654,0.8158247280011963,0.0
2025-07-25,1.7546923102077814,0.7720544177475476,0.050078247261345854
2025-07-28,1.7546923102077814,0.7548646050420155,0.0
