datetime,open,high,low,close,volume,hold
2026-09-09 11:24:00,141400.0,141420.0,141160.0,141320.0,186,405699
2026-09-09 11:25:00,141220.0,141420.0,141220.0,141420.0,61,405711
2026-09-09 11:26:00,141420.0,141420.0,141340.0,141420.0,65,405717
2026-09-09 11:27:00,141360.0,141360.0,141220.0,141320.0,178,405811
2026-09-09 11:28:00,141340.0,141500.0,141320.0,141500.0,133,405795
2026-09-09 11:29:00,141660.0,142180.0,141600.0,141880.0,1407,405192
2026-09-09 11:30:00,141960.0,142100.0,141840.0,141940.0,684,404933
2026-09-09 13:31:00,142060.0,142060.0,141340.0,141400.0,1103,404843
2026-09-09 13:32:00,141560.0,141640.0,141460.0,141640.0,252,404907
2026-09-09 13:33:00,141700.0,141800.0,141560.0,141800.0,372,405012
2026-09-09 13:34:00,141800.0,141860.0,141620.0,141840.0,239,405046
2026-09-09 13:35:00,141760.0,141880.0,141740.0,141880.0,222,405026
2026-09-09 13:36:00,141880.0,142100.0,141880.0,141940.0,479,404997
2026-09-09 13:37:00,142020.0,142080.0,141940.0,142000.0,512,405139
2026-09-09 13:38:00,142040.0,142040.0,141800.0,141800.0,292,405097
2026-09-09 13:39:00,141740.0,142060.0,141720.0,142060.0,403,405007
2026-09-09 13:40:00,142060.0,142300.0,142060.0,142200.0,871,405005
2026-09-09 13:41:00,142280.0,142340.0,142260.0,142340.0,302,405049
2026-09-09 13:42:00,142320.0,142340.0,142260.0,142280.0,342,405065
2026-09-09 13:43:00,142240.0,142280.0,142160.0,142160.0,150,405025
2026-09-09 13:44:00,142200.0,142340.0,142180.0,142320.0,198,405010
2026-09-09 13:45:00,142320.0,142380.0,142160.0,142240.0,164,405100
2026-09-09 13:46:00,142280.0,142320.0,142160.0,142300.0,115,405129
2026-09-09 13:47:00,142280.0,142300.0,141980.0,142040.0,376,405211
2026-09-09 13:48:00,142040.0,142140.0,142020.0,142040.0,274,405200
2026-09-09 13:49:00,142040.0,142040.0,141800.0,141840.0,365,405017
2026-09-09 13:50:00,141920.0,142080.0,141920.0,141920.0,255,405051
2026-09-09 13:51:00,141900.0,142020.0,141900.0,142000.0,86,405075
2026-09-09 13:52:00,142000.0,142020.0,141800.0,141800.0,267,405103
2026-09-09 13:53:00,141680.0,141720.0,141600.0,141680.0,648,405269
2026-09-09 13:54:00,141680.0,141720.0,141580.0,141720.0,288,405454
2026-09-09 13:55:00,141660.0,141700.0,141560.0,141660.0,195,405592
2026-09-09 13:56:00,141720.0,141880.0,141720.0,141800.0,146,405645
2026-09-09 13:57:00,141760.0,141980.0,141760.0,141980.0,127,405612
2026-09-09 13:58:00,141880.0,142000.0,141880.0,141960.0,121,405604
2026-09-09 13:59:00,141960.0,141960.0,141700.0,141700.0,175,405627
2026-09-09 14:00:00,141800.0,141880.0,141700.0,141820.0,126,405668
2026-09-09 14:01:00,141860.0,141860.0,141800.0,141820.0,118,405666
2026-09-09 14:02:00,141820.0,141880.0,141520.0,141540.0,592,405722
2026-09-09 14:03:00,141540.0,141760.0,141540.0,141720.0,134,405686
2026-09-09 14:04:00,141720.0,141740.0,141680.0,141680.0,92,405664
2026-09-09 14:05:00,141700.0,141840.0,141640.0,141840.0,101,405647
2026-09-09 14:06:00,141900.0,142100.0,141840.0,142040.0,392,405612
2026-09-09 14:07:00,142020.0,142020.0,141920.0,141920.0,57,405606
2026-09-09 14:08:00,141900.0,141920.0,141840.0,141880.0,110,405616
2026-09-09 14:09:00,141880.0,142180.0,141880.0,142040.0,256,405630
2026-09-09 14:10:00,142040.0,142100.0,142020.0,142060.0,172,405678
2026-09-09 14:11:00,142080.0,142200.0,142060.0,142120.0,315,405776
2026-09-09 14:12:00,142100.0,142120.0,142000.0,142000.0,143,405776
2026-09-09 14:13:00,142020.0,142080.0,142000.0,142080.0,154,405685
2026-09-09 14:14:00,142040.0,142040.0,141840.0,141920.0,591,405675
2026-09-09 14:15:00,142240.0,142340.0,142000.0,142080.0,428,405704
2026-09-09 14:16:00,142060.0,142100.0,141680.0,141680.0,1068,406134
2026-09-09 14:17:00,141600.0,141800.0,141600.0,141600.0,578,406413
2026-09-09 14:18:00,141660.0,141760.0,141600.0,141700.0,386,406537
2026-09-09 14:19:00,141620.0,141700.0,141580.0,141660.0,257,406590
2026-09-09 14:20:00,141640.0,141800.0,141640.0,141700.0,165,406577
2026-09-09 14:21:00,141720.0,141800.0,141660.0,141660.0,155,406545
2026-09-09 14:22:00,141660.0,141680.0,141560.0,141600.0,194,406562
2026-09-09 14:23:00,141620.0,141680.0,141540.0,141580.0,207,406652
2026-09-09 14:24:00,141520.0,141640.0,141500.0,141600.0,441,406634
2026-09-09 14:25:00,141620.0,141780.0,141600.0,141780.0,223,406616
2026-09-09 14:26:00,141780.0,141800.0,141580.0,141660.0,191,406709
2026-09-09 14:27:00,141720.0,141800.0,141720.0,141800.0,144,406802
2026-09-09 14:28:00,141880.0,141920.0,141740.0,141840.0,162,406811
2026-09-09 14:29:00,141840.0,141920.0,141740.0,141740.0,172,406781
2026-09-09 14:30:00,141800.0,141800.0,141780.0,141780.0,41,406775
2026-09-09 14:31:00,141740.0,141740.0,141520.0,141520.0,307,406781
2026-09-09 14:32:00,141520.0,141560.0,141080.0,141140.0,2244,406925
2026-09-09 14:33:00,141360.0,141800.0,141160.0,141640.0,1002,406770
2026-09-09 14:34:00,141620.0,141800.0,141580.0,141740.0,446,406893
2026-09-09 14:35:00,141680.0,141760.0,141580.0,141600.0,387,406885
2026-09-09 14:36:00,141760.0,141780.0,141660.0,141700.0,144,406883
2026-09-09 14:37:00,141700.0,141760.0,141600.0,141620.0,223,406867
2026-09-09 14:38:00,142000.0,142520.0,141640.0,142200.0,2184,406733
2026-09-09 14:39:00,142280.0,142320.0,142060.0,142160.0,474,406787
2026-09-09 14:40:00,142220.0,142340.0,142180.0,142260.0,416,406806
2026-09-09 14:41:00,142240.0,142260.0,141880.0,141980.0,278,406798
2026-09-09 14:42:00,142060.0,142160.0,142060.0,142060.0,198,406796
2026-09-09 14:43:00,142060.0,142100.0,141800.0,141820.0,240,406830
2026-09-09 14:44:00,142080.0,142080.0,141900.0,141900.0,265,406765
2026-09-09 14:45:00,141960.0,141980.0,141800.0,141900.0,152,406754
2026-09-09 14:46:00,141820.0,141880.0,141700.0,141860.0,401,406702
2026-09-09 14:47:00,141940.0,141980.0,141800.0,141920.0,174,406674
2026-09-09 14:48:00,141820.0,141920.0,141740.0,141920.0,376,406719
2026-09-09 14:49:00,141960.0,142080.0,141920.0,142060.0,268,406663
2026-09-09 14:50:00,142020.0,142020.0,141820.0,141860.0,197,406668
2026-09-09 14:51:00,141880.0,141880.0,141660.0,141680.0,356,406653
2026-09-09 14:52:00,141520.0,141720.0,141500.0,141720.0,566,406683
2026-09-09 14:53:00,141700.0,141800.0,141600.0,141600.0,184,406649
2026-09-09 14:54:00,141680.0,141800.0,141680.0,141720.0,321,406691
2026-09-09 14:55:00,141720.0,141720.0,141560.0,141560.0,524,406685
2026-09-09 14:56:00,141600.0,141820.0,141600.0,141820.0,433,406698
2026-09-09 14:57:00,141840.0,141940.0,141840.0,141860.0,342,406615
2026-09-09 14:58:00,141920.0,142080.0,141800.0,142080.0,822,406295
2026-09-09 14:59:00,142040.0,142200.0,141980.0,142100.0,695,405930
2026-09-09 15:00:00,142140.0,142140.0,141980.0,142000.0,1376,405436
2026-09-10 09:01:00,142280.0,142640.0,142000.0,142640.0,6219,405956
2026-09-10 09:02:00,142700.0,142880.0,142360.0,142820.0,2801,406208
2026-09-10 09:03:00,142880.0,143000.0,142660.0,142960.0,2776,406770
2026-09-10 09:04:00,142940.0,143200.0,142820.0,143200.0,2276,407104
2026-09-10 09:05:00,143220.0,143300.0,142700.0,142780.0,1773,407143
2026-09-10 09:06:00,142560.0,142860.0,142400.0,142820.0,1189,407138
2026-09-10 09:07:00,142820.0,143200.0,142560.0,143200.0,1344,406820
2026-09-10 09:08:00,143160.0,143240.0,142880.0,143060.0,941,406690
2026-09-10 09:09:00,143060.0,143100.0,142800.0,142960.0,541,406590
2026-09-10 09:10:00,142980.0,143020.0,142900.0,143000.0,339,406603
2026-09-10 09:11:00,143200.0,143200.0,142840.0,142840.0,682,406681
2026-09-10 09:12:00,142840.0,143120.0,142840.0,142940.0,473,406749
2026-09-10 09:13:00,142940.0,143220.0,142800.0,143180.0,837,406802
2026-09-10 09:14:00,143180.0,143620.0,143100.0,143520.0,2422,406743
2026-09-10 09:15:00,143480.0,143540.0,143400.0,143480.0,672,406916
2026-09-10 09:16:00,143480.0,143740.0,143400.0,143460.0,1519,407012
2026-09-10 09:17:00,143460.0,143460.0,142800.0,143000.0,1539,406834
2026-09-10 09:18:00,142960.0,143100.0,142800.0,143080.0,852,406679
2026-09-10 09:19:00,143080.0,143100.0,142840.0,142880.0,393,406704
2026-09-10 09:20:00,142780.0,142900.0,142700.0,142840.0,441,406689
2026-09-10 09:21:00,142860.0,143020.0,142800.0,142800.0,409,406758
2026-09-10 09:22:00,142800.0,143060.0,142760.0,143000.0,369,406773
2026-09-10 09:23:00,142960.0,142980.0,142800.0,142940.0,410,406828
2026-09-10 09:24:00,142940.0,143100.0,142920.0,143040.0,196,406879
2026-09-10 09:25:00,143060.0,143100.0,142960.0,142960.0,307,406968
2026-09-10 09:26:00,142960.0,143060.0,142900.0,142900.0,233,406969
2026-09-10 09:27:00,142960.0,143100.0,142900.0,142980.0,321,407003
2026-09-10 09:28:00,142980.0,143080.0,142920.0,143080.0,227,407100
2026-09-10 09:29:00,143080.0,143080.0,142840.0,142980.0,268,407178
2026-09-10 09:30:00,142980.0,143080.0,142600.0,142700.0,1102,407190
2026-09-10 09:31:00,142700.0,142860.0,142700.0,142820.0,358,407182
2026-09-10 09:32:00,142820.0,142880.0,142760.0,142880.0,276,407256
2026-09-10 09:33:00,142840.0,142880.0,142800.0,142820.0,175,407283
2026-09-10 09:34:00,142820.0,142820.0,142640.0,142640.0,484,407202
2026-09-10 09:35:00,142600.0,142740.0,142400.0,142640.0,795,407172
2026-09-10 09:36:00,142600.0,142740.0,142520.0,142660.0,265,407228
2026-09-10 09:37:00,142660.0,142800.0,142640.0,142800.0,199,407293
2026-09-10 09:38:00,142760.0,142800.0,142660.0,142740.0,219,407277
2026-09-10 09:39:00,142740.0,142860.0,142720.0,142800.0,134,407292
2026-09-10 09:40:00,142840.0,143020.0,142840.0,142920.0,427,407223
2026-09-10 09:41:00,142920.0,143580.0,142920.0,143420.0,1800,406794
2026-09-10 09:42:00,143440.0,143460.0,142900.0,143180.0,513,406698
2026-09-10 09:43:00,143280.0,143280.0,142980.0,143000.0,199,406665
2026-09-10 09:44:00,143060.0,143060.0,142880.0,143000.0,261,406677
2026-09-10 09:45:00,142880.0,142940.0,142700.0,142940.0,306,406714
2026-09-10 09:46:00,142940.0,142960.0,142680.0,142680.0,601,406855
2026-09-10 09:47:00,142640.0,142700.0,142280.0,142300.0,1381,406780
2026-09-10 09:48:00,142300.0,142340.0,142060.0,142280.0,1012,406655
2026-09-10 09:49:00,142100.0,142100.0,141540.0,141700.0,2035,406917
2026-09-10 09:50:00,141660.0,141920.0,141320.0,141900.0,1895,407243
2026-09-10 09:51:00,141860.0,141880.0,141700.0,141760.0,452,407434
2026-09-10 09:52:00,141700.0,142020.0,141700.0,141940.0,571,407511
2026-09-10 09:53:00,141840.0,142180.0,141840.0,142060.0,549,407571
2026-09-10 09:54:00,142020.0,142180.0,142020.0,142020.0,296,407679
2026-09-10 09:55:00,142020.0,142220.0,142020.0,142140.0,261,407720
2026-09-10 09:56:00,142120.0,142140.0,142040.0,142040.0,156,407777
2026-09-10 09:57:00,142040.0,142060.0,141680.0,141760.0,739,407995
2026-09-10 09:58:00,141760.0,141940.0,141680.0,141940.0,404,408041
2026-09-10 09:59:00,141920.0,141920.0,141700.0,141760.0,249,408079
2026-09-10 10:00:00,141760.0,141940.0,141760.0,141940.0,235,408177
2026-09-10 10:01:00,141860.0,141860.0,141600.0,141600.0,456,408273
2026-09-10 10:02:00,141600.0,141940.0,141600.0,141940.0,259,408303
2026-09-10 10:03:00,141940.0,142300.0,141940.0,142160.0,550,408142
