date,dir_disagreement,disagreement_vol,disagreement_decay,ham_dev_mean,ham_n_f_minus_n_c,fwd20_ret
2024-06-26,-1.0,456.7386532453992,-0.03252937826720233,0.3470373106983005,-1.0,-0.0610480821177741
2024-06-27,-1.0,430.18508868429615,-0.11636388482800133,0.3559526546136445,-1.0,-0.0798097251585623
2024-06-28,1.0,454.9002204069764,0.10397207620899188,0.3550566207845398,-1.0,-0.0915343915343915
2024-07-01,-1.0,454.9002204069764,6.661338147750939e-17,0.3590786115252806,-1.0,-0.12807109252483
2024-07-02,1.0,450.60449164953604,0.014773210628703492,0.3512362342642987,-1.0,-0.1371610845295056
2024-07-03,-1.0,459.7982967391359,0.026531412470755654,0.3515425020705665,-1.0,-0.1253305129561078
2024-07-04,1.0,468.58374244547844,0.06143327072792928,0.3452737715079428,-1.0,-0.1394358701436934
2024-07-05,1.0,495.89598601659236,0.16479184137429065,0.3387081149422862,-1.0,-0.1373801916932907
2024-07-08,1.0,512.3411178625346,0.07408022673711992,0.3343054415922444,-1.0,-0.1297383876134543
2024-07-09,-1.0,482.4059084695333,0.09041443839175026,0.3309721082589111,-1.0,-0.1370154009559213
2024-07-10,1.0,497.15473340537386,-0.024142588559766875,0.3311264292465654,-1.0,-0.125272331154684
2024-07-11,-1.0,496.30874304313096,-0.0037053985966969847,0.3369951656300076,-1.0,-0.1513513513513513
2024-07-12,1.0,494.34133477098374,-0.012256122877494603,0.3402122513288452,-1.0,-0.1510673234811166
2024-07-15,1.0,544.7280224305085,-0.056423262529392185,0.3424304477861721,-1.0,-0.1358726549175668
2024-07-16,-1.0,516.1280440886126,0.06305656082398056,0.3425510179966703,-1.0,-0.1328828828828828
2024-07-17,1.0,520.3411709739354,-0.024275390757033687,0.3500907005363529,-1.0,-0.1542890040299367
2024-07-18,-1.0,508.88649080744494,-0.050580045424833006,0.3577916461628304,-1.0,-0.1768050028425242
2024-07-19,-1.0,495.5393127959837,0.0150552546251421,0.3625151725060751,-1.0,-0.1876391982182628
2024-07-22,1.0,440.17042154147515,0.06857396367894124,0.3587758562667588,-1.0,-0.1748173130972456
2024-07-23,1.0,437.4172854139938,0.024091904308222455,0.3546091896000922,-1.0,-0.1467576791808873
2024-07-24,1.0,418.8388554588808,0.04164545609023353,0.3567867119500283,-1.0,-0.1035673187571921
2024-07-25,-1.0,419.1371933413989,0.1307479882839238,0.3566395785152236,-1.0,-0.1332567489948305
2024-07-26,1.0,403.8364539995706,-0.12424533157273329,0.346983493859139,-1.0,-0.145602795573675
2024-07-29,1.0,430.68756229520886,-0.03781630406293355,0.3474239342995794,-1.0,-0.1085131894484412
2024-07-30,1.0,444.9719092257397,-0.017046329330474053,0.3508051174961989,-1.0,-0.0616142945163278
2024-07-31,-1.0,438.3638088932164,-0.05657010543907111,0.3532310434221248,-1.0,-0.0840386940749697
2024-08-01,1.0,435.7766810987867,-0.0563005630301985,0.3547566750139816,-1.0,-0.0494743351886208
2024-08-02,-1.0,432.0544556321331,-0.05493061310007212,0.3569277276455605,-1.0,-0.0259259259259259
2024-08-05,-1.0,424.6728617108517,-0.034657358827997184,0.3522490784080877,-1.0,-0.0773006134969325
