date,ham_dev_mean,ham_dev_median,ham_D_f_minus_D_c,ham_n_f_minus_n_c,dir_disagreement,disagreement_vol,disagreement_decay,adaptive_disagree_v1,multiagent_3,basis_rate,basis_rate_chg5,pos_chg_20d_pct,vol_chg_20d_pct,rvol20,vol_rel,basis_turn,momentum_20d,bias_rate,position_pct_chg
2024-12-04,0.4461111111111112,0.425,850.0,-1.0,1.0,881.1289110537326,-0.007953234721342285,1299.9447236180904,851.18,2.36,2.23,-3.747933043885789,-22.096091594976887,2.979195121858491,0.6303718503670424,1.0,0.5270092226614009,-4.388960245606343,-5.394693957369146
2024-12-05,0.4487962962962963,0.425,-100.0,-1.0,-1.0,892.4933657427022,0.07790723050759082,-125.84673366834171,-99.61,0.78,1.16,-10.290226058079805,-18.142610401954077,2.966697031857896,0.4100148671662147,1.0,-0.45543266102797686,-4.1173152848279715,-4.699564999701423
2024-12-06,0.4444444444444445,0.425,-75.0,-1.0,-1.0,898.0928257614635,0.054930613988961194,-81.79899497487438,-74.835,0.33,0.78,-14.033229599797764,-42.62939786199696,2.96346449843718,0.4664700105497496,1.0,0.327225130890052,-3.9443591591215243,-4.932279365691428
2024-12-09,0.4335185185185185,0.4111111111111112,-75.0,-1.0,-1.0,838.242012221191,0.1706123602477485,-66.94786432160804,-75.195,-0.39,-0.52,-31.501210742186785,-57.64496404082674,2.6201404844879246,0.4408476657570567,-1.0,-5.1266213712168,-3.505465510742556,-4.911857308719969
2024-12-10,0.4301851851851851,0.4111111111111112,100.0,-1.0,1.0,838.242012221191,1.3322676295501878e-16,83.78391959798995,100.035,0.07,-0.25,-37.39434944445999,-57.53350161927875,2.617731417405817,0.5834799723594206,1.0,-5.606900800985826,-3.480863128051659,-4.5812027790070875
2024-12-11,0.4192592592592593,0.3861111111111112,-25.0,-1.0,-1.0,703.4442988460047,0.23364143974178705,-17.569723618090453,-25.065,-0.13,-2.49,-47.88250414208514,-83.75651619385094,2.068194007525411,0.3264502211020143,-1.0,-11.387283236994216,-2.8147584632940315,-5.960649765027348
2024-12-12,0.4193518518518518,0.3861111111111112,-200.0,-1.0,-1.0,475.8285709658135,0.13105194097381095,-116.49748743718592,-200.325,-0.65,-1.4300000000000002,-45.62682712423423,-85.74094994842577,1.5686976174499454,0.4144691990807477,-1.0,-4.876543209876538,-2.062347071721382,-5.174401331035716
2024-12-13,0.4111111111111111,0.3861111111111112,625.0,-1.0,1.0,425.50279855595215,0.03850541104184089,485.03454773869345,625.395,0.79,0.46,-46.70509098018204,-79.37825753657795,1.4316737199580265,0.4125931448884609,1.0,-3.1928480204342247,-3.497883446322292,-7.754007344186686
2024-12-16,0.4062962962962963,0.3611111111111111,-100.0,-1.0,-1.0,365.49128796586547,0.12919987715934758,-62.28391959798996,-100.0,0.0,0.39,-50.45105559287267,-73.29932968416124,1.1725245929469468,0.4250786335862255,0.0,-6.114885731933295,-2.937420178799488,-6.795826313787289
2024-12-17,0.4054629629629629,0.3611111111111111,400.0,-1.0,1.0,343.958668722673,0.03768859005264269,132.57286432160805,398.78,-2.44,-2.51,-56.21564541169559,-83.88143192860541,1.035617934796489,0.3818383441433345,-1.0,-9.013914095583786,-3.5000481216515333,-8.735896912626451
2024-12-18,0.3977777777777778,0.3527777777777777,420.0,-1.0,1.0,339.1731431770968,-0.14106894243950818,164.5492462311558,419.165,-1.67,-1.54,-60.27934020097327,-80.5669779925259,1.037577409888894,0.4817547106997177,-1.0,-10.084643288996375,-4.064610601144358,-9.65356418406299
2024-12-19,0.3973148148148148,0.3527777777777777,220.0,-1.0,1.0,339.4045676273606,0.02666492388696322,90.06733668341707,219.23,-1.54,-0.89,-63.64130239251664,-82.28879853089383,1.0338575321582044,0.3896571067642346,-1.0,-9.798657718120808,-4.135704003423724,-10.67002563422611
2024-12-20,0.4118518518518518,0.3611111111111111,-1980.0,-1.0,-1.0,465.78061246403144,-0.024007800019923753,-625.9884422110554,-1981.495,-2.99,-3.78,-46.00244165599531,-70.30867409402546,1.5404347702717167,0.6413475190199381,-1.0,-2.037735849056599,1.1060912914784282,43.117386873014766
2024-12-23,0.4141666666666667,0.3611111111111111,350.0,-1.0,1.0,465.3704664593912,0.009707800696837942,140.52763819095475,348.945,-2.11,-2.11,-41.79171616742984,-65.2566637458998,1.5251485027978895,0.6219659327273119,-1.0,-3.9452395768512782,0.40393133817704374,4.677355790172366
2024-12-24,0.4107407407407407,0.3611111111111111,-510.0,-1.0,-1.0,451.6620621892572,0.025541281149084005,-158.5741206030151,-511.66,-3.32,-0.8799999999999999,-37.06425394637935,-65.69936988219537,1.4900140459736235,0.7011944406502482,-1.0,-0.5721551176096629,1.7606412742201982,6.179077662848909
2024-12-25,0.4127777777777777,0.3611111111111111,350.0,-1.0,1.0,447.9738009256672,-0.07702225152354777,145.71608040201002,348.775,-2.45,-0.7800000000000002,-33.75969023645392,-44.04973777382282,1.5025753069484176,0.7575034204767199,-1.0,-1.273885350318471,0.915400341159156,1.737448134715991
2024-12-26,0.4072222222222222,0.3527777777777777,-10.0,-1.0,-1.0,447.5868042831702,-0.8059047875479155,-4.0628140703517595,-11.24,-2.48,-0.94,-32.59618797619343,-70.11783696529459,1.5026348223099806,0.6375270342870525,-1.0,-1.2484076433120994,1.0058894042841438,-0.1443019089430453
2024-12-27,0.4130555555555555,0.3611111111111111,510.0,-1.0,1.0,443.05124748130055,-0.15077674314054773,324.88793969849246,509.38,-1.24,1.7500000000000002,-28.690409957899803,-56.25472707813057,1.5284691031992057,0.8930539198656392,-1.0,-2.609802673456396,-0.18983501966847172,5.169309901414487
2024-12-30,0.4121296296296296,0.3611111111111111,-910.0,-1.0,-1.0,455.84046147285926,-0.09925654276537474,-378.0158291457287,-912.09,-4.18,-2.07,-24.22212384206086,39.75255513717053,1.6260592323638972,1.8784610280795175,-1.0,0.025542784163468113,2.1834004161964238,5.639526759513713
2024-12-31,0.4063888888888888,0.3611111111111111,610.0,-1.0,1.0,454.2709601803286,-0.07014118290218888,351.4396984924623,608.67,-2.66,0.6599999999999997,-20.163831127914303,-21.83670313526888,1.6619573343728555,1.1652357083063782,-1.0,-1.1538461538461497,0.6507705462686753,1.2549741509496393
2025-01-02,0.4131481481481481,0.3805555555555555,-350.0,-1.0,-1.0,443.0385512511712,0.0443651596660116,-297.5,-350.0,0.0,0.0,-15.728453245506453,-33.98450289206592,1.595324351271051,1.2133276377616404,0.0,1.9659239842725995,1.465246848773738,-0.13880194867049722
2025-01-03,0.4088888888888889,0.3805555555555555,710.0,-1.0,1.0,442.58540656608074,-0.098004738772786,649.65,710.0,0.0,0.0,-9.376295368005012,17.689618577938692,1.652063405479559,1.3859797896479564,0.0,-0.15686274509804088,-0.37889409877331914,2.483920200588674
2025-01-06,0.4176851851851851,0.4,-640.0,-1.0,-1.0,436.9646348450444,-0.10719900255232866,-544.0,-640.0,0.0,0.0,-7.042289225652388,66.42440075470854,1.6936880683477664,2.0999330511456145,0.0,1.3176777560339303,1.2239152252968566,-2.4838179526319393
2025-01-07,0.4248148148148148,0.4111111111111112,-580.0,-1.0,-1.0,428.3720714273366,-0.10227699891974792,-623.5,-580.0,0.0,0.0,9.302102383910338,59.83537241970907,1.7230152834069017,1.7885495873999646,0.0,2.6302083333333393,2.6008174741610546,11.807119832885181
2025-01-08,0.4322222222222222,0.425,820.0,-1.0,1.0,424.99721361315676,-0.10520670727448596,820.0,820.0,0.0,0.0,9.3938767413401,-3.3572247706421976,1.7921761918329695,1.3801932368798082,0.0,0.757180156657955,0.4281011307595284,-4.501085392326642
