date,pos_percentile,basis_percentile,alpha_v1,beta_v1,disagree_v1,disagree_fixed
2025-12-10,1.0,0.2360248447204969,0.38198757763975155,0.6180124223602484,-1965.27950310559,-3180.0
2025-12-11,1.0,0.06172839506172839,0.4691358024691358,0.5308641975308642,-1539.5061728395062,-2900.0
2025-12-12,1.0,0.27607361963190186,0.3619631901840491,0.6380368098159509,740.1226993865031,1160.0
2025-12-15,1.0,0.06097560975609756,0.4695121951219512,0.5304878048780488,-1771.829268292683,-3340.0
2025-12-16,1.0,0.09696969696969697,0.45151515151515154,0.5484848484848485,252.30303030303028,460.0
2025-12-17,1.0,0.012048192771084338,0.4939759036144578,0.5060240963855421,-4058.313253012048,-8020.0
2025-12-18,1.0,0.029940119760479042,0.48502994011976047,0.5149700598802395,1266.8263473053892,2460.0
2025-12-19,0.995,0.005952380952380952,0.49952380952380954,0.5004761904761905,-2622.495238095238,-5240.0
2025-12-22,0.995,0.005917159763313609,0.4995414201183432,0.5004585798816568,-1491.366568047337,-2980.0
2025-12-23,0.99,0.0058823529411764705,0.5020588235294118,0.4979411764705882,-2977.6882352941175,-5980.0
2025-12-24,0.965,0.005847953216374269,0.5145760233918129,0.48542397660818715,-2116.4485380116957,-4360.0
2025-12-25,0.95,0.01744186046511628,0.5162790697674419,0.48372093023255813,580.4651162790698,1200.0
2025-12-26,0.935,0.023121387283236993,0.5209393063583815,0.4790606936416185,-3353.4248554913297,-7000.0
2025-12-29,0.855,0.6724137931034483,0.23629310344827587,0.7637068965517242,8935.370689655174,11700.0
2025-12-30,0.85,0.37142857142857144,0.3892857142857143,0.6107142857142858,-1685.5714285714287,-2760.0
2025-12-31,0.815,0.45738636363636365,0.3638068181818182,0.6361931818181819,0.0,0.0
2026-01-05,0.855,0.06779661016949153,0.5386016949152542,0.4613983050847458,-3875.7457627118647,-8400.0
2026-01-06,0.89,0.07865168539325842,0.5156741573033707,0.4843258426966292,-3855.2337078651685,-7960.0
2026-01-07,0.82,0.10614525139664804,0.536927374301676,0.46307262569832397,-2018.9966480446926,-4360.0
2026-01-08,0.845,0.18333333333333332,0.48583333333333334,0.5141666666666667,-1388.25,-2700.0
2026-01-09,0.83,0.5027624309392266,0.33361878453038674,0.6663812154696133,1052.882320441989,1580.0
2026-01-12,0.81,0.45604395604395603,0.366978021978022,0.633021978021978,-8001.397802197802,-12640.0
2026-01-13,0.75,0.1830601092896175,0.5334699453551912,0.46653005464480873,-5094.508196721311,-10920.0
2026-01-14,0.735,0.8097826086956522,0.2276086956521739,0.7723913043478261,3892.8521739130438,5040.0
2026-01-15,0.73,0.4594594594594595,0.4052702702702703,0.5947297297297297,-761.254054054054,-1280.0
2026-01-16,0.705,0.9946236559139785,0.15018817204301077,0.8498118279569893,14463.797311827957,17020.0
2026-01-19,0.69,0.8983957219251337,0.20580213903743316,0.7941978609625668,-841.8497326203209,-1060.0
2026-01-20,0.7,0.14361702127659576,0.5781914893617022,0.42180851063829783,-5584.744680851063,-13240.0
2026-01-21,0.715,0.14814814814814814,0.5684259259259259,0.43157407407407405,-2693.022222222222,-6240.0
2026-01-22,0.72,0.46842105263157896,0.40578947368421053,0.5942105263157895,-1212.1894736842107,-2040.0
2026-01-23,0.725,0.11518324607329843,0.5799083769633508,0.4200916230366492,-5351.967277486911,-12740.0
2026-01-26,0.69,1.0,0.15500000000000003,0.845,13384.8,15840.0
2026-01-27,0.7,0.23316062176165803,0.533419689119171,0.46658031088082896,-6494.797927461139,-13920.0
2026-01-28,0.65,0.9226804123711341,0.21365979381443295,0.7863402061855671,10474.051546391755,13320.0
2026-01-29,0.645,0.8769230769230769,0.23903846153846153,0.7609615384615385,1111.003846153846,1460.0
2026-01-30,0.6,0.9948979591836735,0.20255102040816325,0.7974489795918367,13253.602040816326,16620.0
2026-02-02,0.505,1.0,0.2475,0.7525,11859.4,15760.0
2026-02-03,0.545,0.9191919191919192,0.26790404040404037,0.7320959595959596,-11464.622727272728,-15660.0
2026-02-04,0.56,0.9195979899497487,0.2602010050251256,0.7397989949748744,651.0231155778895,880.0
2026-02-05,0.41,0.99,0.30000000000000004,0.7,10108.0,14440.0
2026-02-06,0.395,0.825,0.39,0.61,-85.39999999999999,-140.0
2026-02-09,0.47,0.625,0.4525,0.5475,-2233.7999999999997,-4080.0
2026-02-10,0.475,0.64,0.4425,0.5575,-189.55,-340.0
2026-02-11,0.545,0.055,0.7,0.30000000000000004,-3876.0000000000005,-12920.0
2026-02-12,0.525,0.16,0.6575,0.3425,287.70000000000005,840.0
2026-02-13,0.44,0.115,0.7225,0.2775,-893.5500000000001,-3220.0
2026-02-24,0.59,0.08,0.665,0.33499999999999996,-3845.7999999999997,-11480.0
2026-02-25,0.6,0.3775,0.51125,0.48875,-1153.45,-2360.0
2026-02-26,0.595,0.6675,0.36875,0.63125,-4532.375,-7180.0
2026-02-27,0.615,0.5,0.4425,0.5575,-1326.85,-2380.0
2026-03-02,0.6,0.745,0.3275,0.6725,2703.45,4020.0
2026-03-03,0.385,0.96,0.3275,0.6725,14230.1,21160.0
2026-03-04,0.375,0.76,0.4325,0.5675,-1248.5,-2200.0
2026-03-05,0.355,0.7225,0.46125,0.5387500000000001,-7977.595471493703,-16825.139233590686
2026-03-06,0.355,0.635,0.505,0.495,-7204.630256384649,-14272.53516115772
