entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2024-05-14,2024-05-16,1,0.6,2,-0.00505902192242833,-0.008059021922428331,neutral_revert
2024-05-17,2024-05-23,1,0.6,4,0.019472361809045227,0.016472361809045228,neutral_revert
2024-05-24,2024-05-27,1,1.0,1,-0.0014155712841253793,-0.0044155712841253796,gmm_transition
2024-07-19,2024-07-29,-1,0.6,6,0.02814498933901919,0.02514498933901919,neutral_revert
2024-07-30,2024-07-31,-1,0.6,1,-0.01533674149811069,-0.01833674149811069,neutral_revert
2024-08-05,2024-08-09,-1,1.0,4,-0.02054176072234763,-0.023541760722347628,neutral_revert
2024-09-05,2024-09-06,-1,0.6,1,-0.006829698171403393,-0.009829698171403393,neutral_revert
2024-10-11,2024-10-14,1,0.6,1,-0.000591715976331361,-0.003591715976331361,gmm_transition
2024-10-24,2024-10-25,1,0.6,1,-0.03452266152362585,-0.03752266152362585,gmm_transition
2025-04-07,2025-04-10,-1,1.0,3,0.0066298342541436465,0.0036298342541436464,neutral_revert
2025-06-09,2025-06-10,-1,0.6,1,0.0029666818804198994,-3.331811958010066e-05,gmm_transition
2025-07-21,2025-07-25,1,1.0,4,-0.0017448200654307524,-0.004744820065430752,neutral_revert
2025-08-07,2025-08-08,1,0.6,1,-0.002878653675819309,-0.0058786536758193095,neutral_revert
2025-10-29,2025-10-30,1,0.6,1,-0.0028979045920642,-0.0058979045920642004,neutral_revert
2025-11-03,2025-11-10,1,1.0,5,0.004653224019499224,0.0016532240194992243,gmm_transition
2025-11-19,2025-11-20,1,0.6,1,-0.0022286605749944283,-0.005228660574994428,neutral_revert
2025-12-05,2025-12-09,1,1.0,2,-0.010083673031538296,-0.013083673031538297,neutral_revert
2025-12-12,2025-12-15,1,1.0,1,-0.0074136835416225375,-0.010413683541622538,neutral_revert
2025-12-24,2025-12-25,1,0.6,1,-0.007102884201463625,-0.010102884201463625,neutral_revert
2026-01-05,2026-01-08,1,1.0,3,0.006507136859781696,0.0035071368597816956,neutral_revert
2026-01-15,2026-01-16,1,1.0,1,-0.013551215623754484,-0.016551215623754483,neutral_revert
2026-01-28,2026-01-30,1,1.0,2,0.008982620581917594,0.005982620581917594,neutral_revert
2026-02-03,2026-02-04,1,1.0,1,-0.0030048076923076925,-0.006004807692307693,neutral_revert
2026-03-18,2026-03-20,-1,1.0,2,0.01756264724780467,0.01456264724780467,neutral_revert
2026-08-07,2026-08-10,1,0.6,1,-0.01271921372133359,-0.01571921372133359,neutral_revert
2026-08-28,2026-09-02,1,0.6,3,0.003775722106852936,0.0007757221068529357,neutral_revert
