date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max,close
2025-10-09,42379.0,210.0,60.0,0.2288952644619773,229022.0,2,0.9901,73340.0
2025-10-10,42669.0,810.0,60.0,0.228706072948509,221919.0,2,0.991,72740.0
2025-10-13,36718.0,820.0,0.0,0.2229296968315689,207463.0,2,0.9884,72280.0
2025-10-14,35180.0,320.0,100.0,0.2030432131057939,192931.0,2,0.9968,72680.0
2025-10-15,33076.0,60.0,-40.0,0.2030842254865874,212472.0,2,0.9873,72940.0
2025-10-16,30456.0,-2080.0,-60.0,0.199147770671081,233905.0,1,0.9839,75080.0
2025-10-17,30686.0,-2430.0,40.0,0.2091173493113931,271858.0,1,0.9993,75780.0
2025-10-20,30705.0,-1940.0,140.0,0.2145054407058539,293283.0,3,1.0,75940.0
2025-10-21,29892.0,-1880.0,120.0,0.238177885258081,310199.0,3,1.0,75980.0
2025-10-22,29019.0,-2770.0,20.0,0.2840359349060399,353231.0,3,1.0,77120.0
2025-10-23,28759.0,-5140.0,140.0,0.3939938753792592,419147.0,1,0.9937,79940.0
2025-10-24,28699.0,-4120.0,-40.0,0.4556884730152198,431174.0,1,0.9557,79520.0
2025-10-27,27739.0,-5350.0,160.0,0.5604309972286113,483478.0,1,0.9893,81900.0
2025-10-28,27335.0,-3140.0,140.0,0.6297432613667832,488803.0,1,0.998,81640.0
2025-10-29,27525.0,-3750.0,160.0,0.7067698109957111,506882.0,1,0.9996,82900.0
2025-10-30,27641.0,-3400.0,180.0,0.7663562266785632,532871.0,1,0.9999,83400.0
2025-10-31,27621.0,-230.0,160.0,0.7834594031978581,510440.0,1,1.0,80780.0
2025-11-03,27290.0,-1280.0,140.0,0.7991513317870385,525184.0,1,1.0,82280.0
2025-11-04,26490.0,2340.0,-60.0,0.7868634273601071,457374.0,1,1.0,78560.0
2025-11-05,26830.0,1360.0,240.0,0.7591643989578567,453260.0,1,0.9996,79140.0
2025-11-06,26420.0,-100.0,280.0,0.7396371791384532,471983.0,1,0.9993,80500.0
