date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main
2024-12-16,42885.0,0.0,-700.0,0.42403688074613943,137204
2024-12-17,44255.0,700.0,-500.0,0.39600569432171995,125218
2024-12-18,46453.0,1490.0,-600.0,0.362976586777347,113130
2024-12-19,46353.0,1580.0,-600.0,0.3368083623453756,101059
2024-12-20,47721.0,-2330.0,-480.0,0.320057462287004,144633
2024-12-23,48341.0,-1630.0,-500.0,0.2802522776989972,151398
2024-12-24,49609.0,-2600.0,-520.0,0.27490043752339904,160753
2024-12-25,50425.0,-1900.0,-380.0,0.2656318699509392,163546
2024-12-26,51565.0,-1920.0,-480.0,0.2557475249346899,163310
2024-12-27,52086.0,-950.0,-560.0,0.2411399532144594,171752
2024-12-30,52406.0,-3270.0,-800.0,0.24143104542878374,181438
2024-12-31,53356.0,-2050.0,-860.0,0.2339015017760542,183715
2025-01-02,54286.0,-2700.0,,0.23956900160100095,183460
2025-01-03,54366.0,-1480.0,,0.23981409374003226,188017
2025-01-06,54364.0,-2060.0,,0.2439931297469294,183347
2025-01-07,53793.0,-3370.0,,0.26162187676225596,204995
2025-01-08,52772.0,-1680.0,,0.2619238931331553,195768
2025-01-09,52873.0,-2740.0,,0.2690820743420712,198644
2025-01-10,51663.0,-2220.0,,0.2727911423100233,197891
2025-01-13,52126.0,-2810.0,,0.2780554774490837,201358
2025-01-14,52660.0,-2750.0,,0.2861527142331139,219211
2025-01-15,52660.0,-3210.0,,0.2970930091315254,243381
2025-01-16,51198.0,-2510.0,,0.27258777016029545,237300
2025-01-17,51348.0,-2890.0,,0.2317673352212427,244609
2025-01-20,51128.0,-2870.0,,0.25734091754340793,248620
2025-01-21,49951.0,-620.0,,0.2522231610207302,241515
2025-01-22,47966.0,-1350.0,,0.2548916402574328,234572
2025-01-23,47401.0,-1680.0,,0.25634104275849084,231918
2025-01-24,47641.0,-1680.0,,0.25622310206904286,224092
2025-01-27,48641.0,-1820.0,,0.2395513813714348,222388
2025-02-05,48652.0,-470.0,,0.2404748415129112,232614
2025-02-06,48382.0,-200.0,,0.23529232442976075,245868
2025-02-07,48387.0,-500.0,,0.23529232442976075,237903
2025-02-10,47507.0,-1450.0,,0.2069124106010872,238359
2025-02-11,47495.0,-650.0,,0.2119491542868415,243842
2025-02-12,46762.0,-950.0,,0.22048602187569888,246602
2025-02-13,45753.0,-850.0,,0.21868347893734869,248595
2025-02-14,45933.0,-530.0,,0.23571165828770033,255409
2025-02-17,45350.0,-1060.0,,0.24352132794515513,248480
2025-02-18,45350.0,-910.0,,0.254117552104173,247338
2025-02-19,45025.0,-1050.0,,0.2594346771090383,245775
2025-02-20,44865.0,-960.0,,0.25281963774182964,243976
2025-02-21,44546.0,-470.0,,0.2543302066523676,256680
2025-02-24,44497.0,-870.0,,0.23375881420890351,258484
2025-02-25,45207.0,-740.0,,0.20469195404154222,249202
2025-02-26,44542.0,-250.0,,0.21701037837656104,264594
2025-02-27,46106.0,-790.0,,0.21519728418071893,261406
2025-02-28,45926.0,0.0,,0.21732094485716763,281269
2025-03-03,46147.0,-300.0,,0.20610510134214788,276007
2025-03-04,46422.0,-310.0,,0.1858498789660372,273492
2025-03-05,46421.0,-490.0,,0.1886364174178197,267741
2025-03-06,44439.0,-1950.0,,0.18516464447456174,257990
2025-03-07,42446.0,-1070.0,,0.17925548859165025,258267
2025-03-10,38568.0,-710.0,,0.15670045872578361,256739
2025-03-11,38022.0,-1060.0,,0.15322280671838298,256599
2025-03-12,38532.0,-700.0,,0.14820102180932582,256166
2025-03-13,36922.0,-590.0,,0.14677708235669304,258337
2025-03-14,35955.0,-690.0,,0.14728229641087695,255256
2025-03-17,35882.0,-1340.0,,0.13936299931446908,254611
2025-03-18,35972.0,-350.0,,0.1351483817746516,256955
2025-03-19,36832.0,-300.0,,0.12560894050110838,253930
2025-03-20,38081.0,1190.0,,0.1637350893174022,261415
2025-03-21,37587.0,1060.0,,0.1946919738569322,256784
2025-03-24,36763.0,380.0,,0.20389747728062585,247653
2025-03-25,36151.0,300.0,,0.20775115867234364,237509
2025-03-26,35807.0,-380.0,,0.20751206132062683,226538
2025-03-27,36135.0,-80.0,,0.2053024929243618,222920
2025-03-28,35782.0,150.0,,0.21145206340425993,218313
2025-03-31,17755.0,-160.0,,0.2144568928041614,210611
2025-04-01,19135.0,-260.0,,0.2158080615691301,203726
2025-04-02,21768.0,760.0,,0.2271017889525942,205165
2025-04-03,24603.0,740.0,,0.2189034932828813,199448
2025-04-07,27023.0,1540.0,,0.2662832135219675,179831
2025-04-08,28403.0,2120.0,,0.32281354323772093,174172
2025-04-09,28783.0,1500.0,,0.3683153078249205,154327
2025-04-10,28843.0,1210.0,,0.3889533934517134,143347
2025-04-11,28923.0,1340.0,,0.4092060597702916,134216
2025-04-14,29033.0,840.0,,0.41091072227911934,118132
2025-04-15,29283.0,830.0,,0.394259252668067,112411
2025-04-16,29262.0,1170.0,,0.3883045403569855,133972
2025-04-17,29262.0,1090.0,,0.37693671697154124,141377
2025-04-18,29562.0,1270.0,,0.3871217956312705,153049
2025-04-21,30445.0,1850.0,,0.41213983658901066,181414
2025-04-22,31385.0,2560.0,,0.44856163477863586,205447
2025-04-23,31735.0,970.0,,0.45269223661845964,206388
