date,close,open,high,low,volume,position,P_fund,basis,spot_avg,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2024-08-08,78500.0,80600.0,80600.0,78400.0,137278,219537,78500.0,700.0,80250.0,0.0,-900.0,0.0,1102500.0,7.124576406741286e-218,1.0,-900.0,-1.0,1
2024-08-09,77550.0,79100.0,79800.0,77500.0,150525,221881,77550.0,1050.0,80250.0,0.0,-475.0,0.0,2360000.0,7.124576406741286e-218,1.0,-475.0,-1.0,1
2024-08-12,76000.0,77950.0,78000.0,75900.0,112956,230478,76000.0,850.0,78150.0,0.0,-775.0,0.0,1141250.0,7.124576406741286e-218,1.0,-775.0,-1.0,1
2024-08-13,77000.0,76100.0,77800.0,75500.0,198114,221774,77000.0,1100.0,78050.0,0.0,500.0,0.0,1811250.0,7.124576406741286e-218,1.0,500.0,-1.0,1
2024-08-14,73450.0,76800.0,77100.0,72800.0,216635,230303,73450.0,1550.0,77450.0,0.0,-1775.0,0.0,865000.0,7.124576406741286e-218,1.0,-1775.0,-1.0,1
2024-08-15,72400.0,73600.0,73700.0,71800.0,212442,229864,72400.0,2050.0,75350.0,0.0,-525.0,0.0,3801250.0,7.124576406741286e-218,1.0,-525.0,-1.0,1
2024-08-16,72950.0,73200.0,74250.0,72400.0,179002,225197,72950.0,1350.0,75200.0,0.0,275.0,0.0,2495000.0,7.124576406741286e-218,1.0,275.0,-1.0,1
2024-08-19,73400.0,73350.0,73800.0,71700.0,173315,226887,73400.0,1750.0,74700.0,0.0,225.0,0.0,3405000.0,7.124576406741286e-218,1.0,225.0,-1.0,1
2024-08-20,75000.0,73400.0,75100.0,73100.0,155457,227057,75000.0,800.0,74700.0,0.0,800.0,0.0,3318750.0,7.124576406741286e-218,1.0,800.0,-1.0,1
2024-08-21,77900.0,75500.0,78800.0,74250.0,311907,224646,77900.0,-150.0,74850.0,0.0,1450.0,0.0,5113750.0,7.124576406741286e-218,1.0,1450.0,-1.0,1
2024-08-22,75450.0,77450.0,77950.0,75000.0,271095,220587,75450.0,-1270.0,74880.0,0.0,-1225.0,0.0,1636250.0,7.124576406741286e-218,1.0,-1225.0,-1.0,1
2024-08-23,73350.0,75250.0,75550.0,73100.0,184257,217889,73350.0,-250.0,74250.0,0.0,-1050.0,0.0,4298750.0,7.124576406741286e-218,1.0,-1050.0,-1.0,1
2024-08-26,74350.0,74000.0,75000.0,73350.0,183293,221357,74350.0,100.0,74200.0,0.0,500.0,0.0,1778750.0,7.124576406741286e-218,1.0,500.0,-1.0,1
2024-08-27,76150.0,74600.0,76850.0,74350.0,224363,222639,76150.0,-650.0,74300.0,0.0,900.0,0.0,-77500.0,1.0,7.124576406741286e-218,6.412118766067157e-215,1.0,1
2024-08-28,75750.0,76000.0,76600.0,74300.0,202705,227100,75750.0,-700.0,74250.0,0.0,-200.0,0.0,1306250.0,7.124576406741286e-218,1.0,-200.0,-1.0,1
2024-08-29,76850.0,75950.0,78100.0,74700.0,269825,236888,76850.0,-1350.0,74250.0,0.0,550.0,0.0,2520000.0,7.124576406741286e-218,1.0,550.0,-1.0,1
2024-08-30,78900.0,76850.0,79350.0,76550.0,288902,232278,78900.0,-3400.0,74600.0,0.0,1025.0,0.0,3786250.0,7.124576406741286e-218,1.0,1025.0,-1.0,1
2024-09-02,75200.0,78250.0,78400.0,74550.0,291828,229216,75200.0,-2900.0,74650.0,0.0,-1850.0,0.0,-43750.0,1.0,7.124576406741286e-218,-1.3180466352471378e-214,1.0,1
2024-09-03,74900.0,75300.0,75600.0,73650.0,206102,233484,74900.0,-800.0,74050.0,0.0,-150.0,0.0,573750.0,7.124576406741286e-218,1.0,-150.0,-1.0,1
2024-09-04,73600.0,74050.0,74900.0,73200.0,197297,234032,73600.0,350.0,73850.0,0.0,-650.0,0.0,650000.0,7.124576406741286e-218,1.0,-650.0,-1.0,1
2024-09-05,70750.0,73500.0,73750.0,70300.0,251520,245150,70750.0,1250.0,73500.0,0.0,-1425.0,0.0,1647500.0,7.124576406741286e-218,1.0,-1425.0,-1.0,1
2024-09-06,71200.0,71600.0,72450.0,69700.0,245768,239300,71200.0,2100.0,72600.0,0.0,225.0,0.0,151250.0,7.124576406741286e-218,1.0,225.0,-1.0,1
2024-09-09,73150.0,70300.0,73150.0,70150.0,214357,234926,73150.0,850.0,72250.0,0.0,975.0,0.0,-146250.0,1.0,7.124576406741286e-218,6.946461996572754e-215,1.0,1
2024-09-10,72150.0,73200.0,73800.0,71700.0,196239,236989,72150.0,-300.0,72450.0,0.0,-500.0,0.0,-346250.0,1.0,7.124576406741286e-218,-3.562288203370643e-215,1.0,1
2024-09-11,78450.0,72900.0,79300.0,72900.0,577307,254596,78450.0,-3300.0,73400.0,0.0,3150.0,0.0,-1721250.0,1.0,7.124576406741286e-218,2.244241568123505e-214,1.0,1
2024-09-12,76950.0,79600.0,79800.0,75350.0,408382,246549,76950.0,-2500.0,73800.0,0.0,-750.0,0.0,-8310000.0,1.0,7.124576406741286e-218,-5.343432305055964e-215,1.0,1
2024-09-13,77550.0,77800.0,78250.0,76200.0,260115,239306,77550.0,-2650.0,74300.0,0.0,300.0,0.0,-8471250.0,1.0,7.124576406741286e-218,2.1373729220223856e-215,1.0,1
2024-09-18,75300.0,77550.0,77700.0,74550.0,219265,231645,75300.0,-1400.0,74300.0,0.0,-1125.0,0.0,-9270000.0,1.0,7.124576406741286e-218,-8.015148457583947e-215,1.0,1
2024-09-19,75700.0,75500.0,76700.0,73700.0,244398,226801,75700.0,-1200.0,74050.0,0.0,200.0,0.0,-10080000.0,1.0,7.124576406741286e-218,1.424915281348257e-215,1.0,1
2024-09-20,75300.0,76250.0,76400.0,74200.0,193963,225720,75300.0,-1200.0,74200.0,0.0,-200.0,0.0,-12480000.0,1.0,7.124576406741286e-218,-1.424915281348257e-215,1.0,1
2024-09-23,74850.0,74800.0,76800.0,73200.0,258432,221399,74850.0,-350.0,74000.0,0.0,-225.0,0.0,-8837500.0,1.0,7.124576406741286e-218,-1.6030296915167893e-215,1.0,1
2024-09-24,76800.0,75150.0,77400.0,74550.0,235393,231192,76800.0,-1250.0,74200.0,0.0,975.0,0.0,-11848750.0,1.0,7.124576406741286e-218,6.946461996572754e-215,1.0,1
