date,close,label_ret_1d,label_ret_3d,label_ret_5d,n_c,Total_Demand,n_f_minus_n_c,basis,basis_rate,spot_avg,volume,position,ret_5d,ret_10d,ret_20d,fi_supply,fi_demand,fi_inventory,fi_profit,fi_sentiment,fi_basis,fi_composite,warehouse_inventory,social_inventory
2024-01-30,101000.000000,-0.018317,-0.008416,-0.038119,0.000000,-0.000000,1.000000,-4950.000000,-5.116279,96750.000000,54916.000000,141118.000000,-0.009804,-0.030245,-0.067836,-0.572500,1.021100,-1.018500,-0.105100,,-0.094900,-0.154000,,
2024-01-31,99150.000000,0.004539,0.013111,-0.015129,0.000000,-0.000000,1.000000,-4100.000000,-4.237726,96750.000000,102011.000000,150388.000000,-0.031265,-0.025553,-0.069887,-0.128900,0.830200,-1.018500,-0.091400,,0.027700,-0.076200,,
2024-02-01,99600.000000,0.005522,-0.024598,-0.033133,0.000000,0.000000,1.000000,-2100.000000,-2.163833,97050.000000,58995.000000,145032.000000,-0.017267,-0.027344,-0.008462,-0.148900,0.830200,-1.166600,-0.072800,,0.289800,-0.053700,,
2024-02-02,100150.000000,0.002996,-0.024963,-0.053919,0.000000,0.000000,1.000000,-3800.000000,-3.915507,97050.000000,71323.000000,135549.000000,-0.004968,-0.012327,0.015205,-0.148900,0.830200,-1.166600,-0.060300,,0.464700,-0.016200,,
2024-02-05,100450.000000,-0.032852,-0.041314,-0.076157,0.000000,0.000000,1.000000,-3800.000000,-3.915507,97050.000000,45180.000000,132983.000000,-0.014713,0.006009,0.033436,-0.148900,0.830200,-1.166600,-0.049100,,0.541300,0.001400,,
2024-02-06,97150.000000,0.005147,-0.024704,-0.002573,0.000000,-0.000000,1.000000,-1200.000000,-1.236476,97050.000000,110907.000000,142239.000000,-0.038119,-0.047549,-0.018191,-0.148900,0.830200,-1.166600,-0.038400,,0.727200,0.040700,,
2024-02-07,97650.000000,-0.013825,-0.049667,0.000000,0.000000,0.000000,1.000000,-950.000000,-0.978877,97050.000000,42570.000000,136452.000000,-0.015129,-0.045921,-0.002554,-0.148900,0.830200,-1.409900,-0.026200,,0.733400,-0.004300,,
2024-02-08,96300.000000,-0.016096,0.006231,0.057113,0.000000,-0.000000,1.000000,-1000.000000,-1.030397,97050.000000,57952.000000,138228.000000,-0.033133,-0.049827,-0.080229,0.352900,0.830200,-1.409900,-0.014900,,0.889200,0.129500,,
2024-02-19,94750.000000,-0.020580,0.030607,0.079683,0.000000,-0.000000,1.000000,100.000000,0.103199,96900.000000,66470.000000,148907.000000,-0.053919,-0.058619,-0.078755,0.352900,0.830200,-1.409900,0.010200,,0.854400,0.127600,,
2024-02-20,92800.000000,0.044181,0.096983,0.149246,0.000000,-0.000000,1.000000,3100.000000,3.204134,96750.000000,103744.000000,173155.000000,-0.076157,-0.089750,-0.089750,0.352900,0.830200,-1.409900,0.027300,,1.050400,0.170200,,
2024-02-21,96900.000000,0.007740,0.055728,0.114551,0.000000,0.000000,1.000000,1550.000000,1.612064,96150.000000,324538.000000,165643.000000,-0.002573,-0.040594,-0.069611,0.352900,0.830200,-1.409900,0.023100,,1.049300,0.169100,,
2024-02-22,97650.000000,0.042499,0.092166,0.220686,0.000000,0.000000,1.000000,-1250.000000,-1.300052,96150.000000,119458.000000,166013.000000,0.000000,-0.015129,-0.040295,0.434300,0.830200,-1.846000,0.034300,,1.014900,0.093500,,
2024-02-23,101800.000000,0.004912,0.060904,0.173379,0.000000,0.000000,1.000000,-4250.000000,-4.415584,96250.000000,206120.000000,173784.000000,0.057113,0.022088,-0.005859,0.434300,0.830200,-1.846000,0.049000,,0.966100,0.086700,,
2024-02-26,102300.000000,0.042522,0.165200,0.149560,1.000000,250.000000,-1.000000,-6050.000000,-6.259700,96650.000000,215205.000000,179602.000000,0.079683,0.021468,0.008876,0.434300,0.830200,-1.846000,0.070700,,0.864800,0.070800,,
