date,close,P_fund,Total_Demand,n_f,n_c,n_f_minus_n_c,D_f,D_c,profit_f,profit_c,valid
2025-11-20,22385.0,20606.10388543907,331390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-21,22390.0,20168.759049769098,331390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-24,22390.0,20230.860283488844,331390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-25,22360.0,20261.328505977992,331390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-26,22355.0,20310.43575669088,331390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-27,22415.0,20415.232999258784,336690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-28,22425.0,19995.61955718887,336690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-01,22590.0,20232.54222419422,336690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-02,22745.0,20453.31411409688,336690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-03,22755.0,20537.088553763166,336690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-04,22865.0,20705.296213865422,335970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-05,23305.0,20886.499050498594,335970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-08,23285.0,20955.254966634297,335970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-09,23070.0,20839.856420953365,335970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-10,23075.0,20915.823757923125,335970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-11,22995.0,20908.792371714222,346145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-12,23605.0,21216.24856628262,346145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-15,23430.0,21141.5771392092,346145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
